"NRSA_ID","MMI_BENT","BENT_MMI_COND","AGGR_ECO9_2015","STATE","ALB_X","ALB_Y","LON_DD83","LAT_DD83","YEAR","DATE_COL"
"FW08LA068",14.68,"Poor","CPL","LA",453954.264448406,836845.09497442,-91.2590743037,30.5056571832,2008,"21Oct2008"
"FW08LA070",6,"Poor","CPL","LA",578057.158291739,780952.032562906,-90.0028673064,29.9399076495,2008,"02Dec2008"
"FW08LA072",28.83,"Poor","CPL","LA",394389.457459952,844650.857165056,-91.8767733056,30.6008304725,2009,"06Jun2009"
"FW08LA073",8.98,"Poor","CPL","LA",369473.788507144,1058381.60765859,-92.0439914966,32.5284760387,2009,"02Jun2009"
"FW08LA088",2.08,"Poor","CPL","LA",429937.422554757,950798.519053062,-91.452605206,31.5396377443,2008,"08Sep2008"
"FW08LA092",20.18,"Poor","CPL","LA",418686.649482295,1056833.62992805,-91.5185785429,32.4950241798,2009,"03Jun2009"
"FW08LA094",15.13,"Poor","CPL","LA",367580.912523829,1063598.1974888,-92.0619223094,32.5759163083,2009,"31May2009"
"FW08LA096",2.35,"Poor","CPL","LA",434488.123262512,961158.47533266,-91.3992470406,31.6306163071,2008,"09Sep2008"
"FW08LA097",22.82,"Poor","CPL","LA",401210.590720818,933739.839484109,-91.7640648044,31.398469074,2009,"11Jun2009"
"FW08LA100",0,"Poor","CPL","LA",414767.716663969,889668.309790144,-91.6424489131,30.9972218872,2008,"17Sep2008"
"FW08LA102",16.18,"Poor","CPL","LA",197283.304519882,1035642.84931438,-93.8921883213,32.3739045163,2009,"13Jun2009"
"FW08LA104",16.67,"Poor","CPL","LA",418828.982243442,900146.910873233,-91.5947424908,31.0896561161,2008,"16Sep2008"
"FW08LA108",16.13,"Poor","CPL","LA",467975.391965894,1049762.79810299,-90.9959210915,32.4096389342,2008,"29Sep2008"
"FW08LA131",14.08,"Poor","CPL","LA",516626.978765528,788475.282871047,-90.63434836,30.0406580582,2008,"05Nov2008"
"FW08LA134",8.18,"Poor","CPL","LA",588017.224408354,774173.177534781,-89.9043210995,29.8732241276,2008,"19Nov2008"
"FW08LA151",14.08,"Poor","CPL","LA",499085.449015583,780866.787606136,-90.8204688453,29.980967972,2008,"12Nov2008"
"FW08LA152",16.67,"Poor","CPL","LA",425502.777727803,938487.9835979,-91.505592814,31.4310636364,2008,"15Sep2008"
"FW08LA160",26.57,"Poor","CPL","LA",419593.263085235,988166.199877307,-91.5433311593,31.8792187573,2009,"18Jul2009"
"FW08LA164",54.08,"Fair","CPL","LA",430370.3167675,888243.787984951,-91.4794820307,30.9778746602,2009,"20Jul2009"
"FW08LA167",14.68,"Poor","CPL","LA",480845.979106151,799032.211341478,-90.9994931897,30.1532011141,2008,"11Nov2008"
"FW08LA173",23.55,"Poor","CPL","LA",311057.670210195,925108.80987846,-92.7181677401,31.3530074302,2009,"21Jul2009"
"FW08LA180",11.7,"Poor","CPL","LA",448476.054656467,844275.007567509,-91.3123690198,30.5748944621,2008,"20Oct2008"
"FW08LA182",7.95,"Poor","CPL","LA",580022.477161441,769790.101187442,-89.9898459293,29.8383810786,2008,"18Nov2008"
"FW08LA195",14.68,"Poor","CPL","LA",533543.852811887,784684.71670394,-90.4613342198,29.9978170217,2008,"04Nov2008"
"FW08LA198",0,"Poor","CPL","LA",585406.153730306,779322.851694047,-89.9279087168,29.9210508023,2008,"03Dec2008"
"FW08LA227",0,"Poor","CPL","LA",468455.035246563,811047.430898181,-91.121714156,30.2670757896,2008,"22Oct2008"
"FW08LA228",6.43,"Poor","CPL","LA",426903.852387451,872360.360537275,-91.5236914798,30.8366564046,2008,"29Oct2008"
"FW08MA001",33.7,"Poor","NAP","MA",2006764.91609894,2383327.37715956,-71.2975995333,42.0904985347,2008,"11Jul2008"
"FW08MA002",6.37,"Poor","NAP","MA",2040503.03526406,2377466.15053803,-70.9197847872,41.9617880804,2008,"07Aug2008"
"FW08MA003",22.78,"Poor","NAP","MA",1995497.68340855,2450922.64028972,-71.2179794062,42.7006378633,2009,"15Sep2009"
"FW08MA004",51.02,"Fair","NAP","MA",1925634.89630575,2424674.64818138,-72.1290034427,42.6317075111,2008,"20Jul2008"
"FW08MA005",14.22,"Poor","NAP","MA",1892279.68846159,2410045.85312873,-72.5695784529,42.5783639304,2009,"02Sep2009"
"FW08MA006",8.73,"Poor","NAP","MA",2029175.74379995,2364354.29211269,-71.0939728475,41.8749374709,2008,"06Aug2008"
"FW08MA007",6.82,"Poor","NAP","MA",2009277.26750551,2467709.91885636,-71.0010049426,42.8138073115,2008,"23Jul2008"
"FW08MA009",72.07,"Good","NAP","MA",1870617.19114795,2390504.04107085,-72.8849689194,42.4557517781,2009,"29Jul2009"
